City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
281,Champerico,GT,14.3,-91.9167,77.54,71,23,5.66,few clouds
282,Dakar,SN,14.6937,-17.4441,79.68,94,75,0.0,thunderstorm
283,Road Town,VG,18.4167,-64.6167,87.89,74,40,8.05,scattered clouds
284,Guerrero Negro,MX,27.9769,-114.0611,78.3,62,16,15.7,few clouds
285,Souillac,MU,-20.5167,57.5167,68.38,88,40,0.0,scattered clouds
286,Los Llanos De Aridane,ES,28.6585,-17.9182,69.55,84,100,11.5,overcast clouds
287,Lagos,NG,6.5833,3.75,79.12,88,100,6.29,light rain
288,The Valley,AI,18.217,-63.0578,89.46,74,40,12.66,haze
289,Turayf,SA,31.6725,38.6637,88.05,18,0,0.0,clear sky
290,Sur,OM,22.5667,59.5289,82.67,64,16,13.82,few clouds
291,Bilibino,RU,68.0546,166.4372,45.97,80,98,8.32,overcast clouds
292,Ambalavao,MG,-21.8333,46.9333,56.21,91,12,2.71,few clouds
293,Iwanai,JP,42.9744,140.5089,61.0,82,95,4.52,overcast clouds
294,Leeton,AU,-34.5667,146.4,45.9,94,0,9.26,clear sky
295,Iracoubo,GF,5.4802,-53.2011,80.82,82,83,6.93,broken clouds
296,Harnai,PK,30.1005,67.9374,79.18,75,81,1.95,broken clouds
297,Wonthaggi,AU,-38.6044,145.5913,49.82,89,89,18.37,light rain
298,Alice Springs,AU,-23.7,133.8833,47.75,49,1,6.91,clear sky
299,Bosaso,SO,11.2842,49.1816,88.07,53,8,5.28,clear sky
300,Chippewa Falls,US,44.9369,-91.3929,78.98,61,100,13.8,overcast clouds
301,Port Blair,IN,11.6667,92.75,80.94,82,98,4.52,overcast clouds
302,Margate,GB,51.3813,1.3862,64.87,75,37,8.01,scattered clouds
303,Ialibu,PG,-6.2821,143.9935,56.03,97,100,2.62,overcast clouds
304,Ulladulla,AU,-35.35,150.4667,50.9,90,43,8.25,scattered clouds
305,Zonguldak,TR,41.25,31.8333,65.43,83,0,3.27,clear sky
306,Roald,NO,62.5833,6.1333,55.33,82,20,19.57,few clouds
307,Hermiston,US,45.8404,-119.2895,93.81,26,0,6.91,clear sky
308,Yulara,AU,-25.2406,130.9889,47.53,46,0,10.65,clear sky
309,Richards Bay,ZA,-28.783,32.0377,64.11,74,100,19.66,light rain
310,Cayenne,GF,4.9333,-52.3333,86.04,70,0,11.5,clear sky
311,Pisco,PE,-13.7,-76.2167,62.65,77,40,9.22,haze
312,Tuatapere,NZ,-46.1333,167.6833,46.51,85,98,3.49,overcast clouds
313,Christchurch,NZ,-43.5333,172.6333,50.92,80,4,3.44,clear sky
314,Pundaguitan,PH,6.3711,126.1689,82.22,73,100,7.85,overcast clouds
315,Mazyr,BY,52.0495,29.2456,66.52,85,87,7.34,overcast clouds
316,Tel Aviv-Yafo,IL,32.0805,34.7805,83.1,84,20,3.44,few clouds
317,Te Anau,NZ,-45.4167,167.7167,45.16,88,98,2.86,overcast clouds
318,Sabratah,LY,32.7933,12.4885,84.04,69,0,11.39,clear sky
319,Douglas,US,41.3,-96.167,88.59,44,0,5.75,clear sky
320,Moyale,KE,3.5167,39.0584,75.29,44,100,12.84,overcast clouds
321,Saint-Pierre,RE,-21.3393,55.4781,69.48,87,75,2.3,heavy intensity rain
322,Le Mans,FR,48.0,0.2,78.73,44,87,9.22,overcast clouds
323,Bara,NG,10.3744,10.7288,73.36,86,49,4.68,scattered clouds
324,Tuy Hoa,VN,13.0833,109.3,76.44,91,40,3.53,scattered clouds
325,Santiago De Cao,PE,-7.9589,-79.2392,64.53,72,40,12.66,fog
326,Bom Jesus Dos Perdoes,BR,-23.135,-46.4653,51.66,87,100,10.85,overcast clouds
327,Meadow Lake,US,34.8014,-106.5436,92.61,20,0,10.65,clear sky
328,Novichikha,RU,52.204,81.3877,54.97,54,21,4.94,few clouds
329,Vestmannaeyjar,IS,63.4427,-20.2734,54.0,92,88,30.27,overcast clouds
330,Bulgan,MN,48.8125,103.5347,41.58,74,4,4.68,clear sky
331,Ermelo,ZA,-26.5333,29.9833,54.68,48,25,5.37,scattered clouds
332,Gerash,IR,27.6652,54.1371,78.94,43,0,2.64,clear sky
333,Miyang,CN,24.4042,103.4428,64.15,98,96,2.57,overcast clouds
334,Cassilandia,BR,-19.1133,-51.7342,84.0,30,75,8.25,broken clouds
335,Murud,IN,18.3258,72.965,77.86,86,86,4.29,overcast clouds
336,Villa Carlos Paz,AR,-31.4241,-64.4978,61.05,17,9,17.0,clear sky
337,Linjiang,CN,41.8069,126.9078,56.34,95,94,0.92,overcast clouds
338,Igunga,TZ,-4.2833,33.8833,74.62,53,88,8.79,overcast clouds
339,Labuhan,ID,-6.8844,112.2051,76.21,80,53,13.58,broken clouds
340,Sabang,ID,5.8933,95.3214,79.41,83,99,17.85,light rain
341,Chepareria,KE,1.3077,35.2039,59.74,82,64,4.23,broken clouds
342,Monterey,US,36.2505,-121.2516,89.19,17,0,8.48,clear sky
343,Calvinia,ZA,-31.4707,19.776,42.75,65,0,25.55,clear sky
344,Coulommiers,FR,48.8145,3.085,73.58,56,12,12.88,few clouds
